row,kernel,scale,psr_tag,input,coverage,support_radius_out,support_radius_input,centroid_x,centroid_y,footprint,dom,floors,robust_floor,extreme_max,extreme_p99,extreme_n,measured,expect_sigma_rt_over_t,expect,sci_eq,wht_eq,sup1_eq,sup2_eq,sup1_img_eq,max_diff,total_exptime,sci_max,note,png,sha256,flagged,frac,bg
footprint,lanczos3,4,cur1,impulse,0.9896104600694444,270.1110302141746,67.52775755354365,0.002658862272713164,0.002658862272713164,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,4,cur1,star,0.9896104600694444,270.1110302141746,67.52775755354365,0.002658862272713164,0.002658862272713164,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,4,one_over_s,impulse,1.0,270.11109797152056,67.52777449288014,0.002610950592752614,0.0026109505950559333,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,4,one_over_s,star,1.0,270.11109797152056,67.52777449288014,0.002610950592752614,0.0026109505950559333,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,4,none,impulse,0.9896104600694444,270.1110302141746,67.52775755354365,0.002658862272713164,0.002658862272713164,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,4,none,star,0.9896104600694444,270.1110302141746,67.52775755354365,0.002658862272713164,0.002658862272713164,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,4,wrong_s,impulse,0.0625,270.0552510401925,67.51381276004813,0.04210069444444445,0.04210069444444445,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,4,wrong_s,star,0.0625,270.0552510401925,67.51381276004813,0.04210069444444445,0.04210069444444445,,,,,,,,,,,,,,,,,,,,,,,,
causal,square,1,cur1,,,,,,,"{""coverage"": 0.8810763888888888, ""support_radius_out"": 61.0573828890116, ""support_radius_input"": 61.0573828890116, ""centroid_x"": 0.011671719524396423, ""centroid_y"": 0.01155181165020441}","{""f1e-09"": {""n"": 2030, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.11724137931034483, ""wht_at_max"": 0.9999999403953552}, ""f0.001"": {""n"": 2030, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.11724137931034483, ""wht_at_max"": 0.9999999403953552}, ""f0.01"": {""n"": 2024, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.11758893280632411, ""wht_at_max"": 0.9999999403953552}, ""f0.1"": {""n"": 2010, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.11840796019900497, ""wht_at_max"": 0.9999999403953552}}",,,,,,,,,,,,,,,,,,,,,,
causal,square,1,correct_1os,,,,,,,"{""coverage"": 0.8810763888888888, ""support_radius_out"": 61.0573828890116, ""support_radius_input"": 61.0573828890116, ""centroid_x"": 0.011671719524396423, ""centroid_y"": 0.01155181165020441}","{""f1e-09"": {""n"": 2030, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.11724137931034483, ""wht_at_max"": 0.9999999403953552}, ""f0.001"": {""n"": 2030, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.11724137931034483, ""wht_at_max"": 0.9999999403953552}, ""f0.01"": {""n"": 2024, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.11758893280632411, ""wht_at_max"": 0.9999999403953552}, ""f0.1"": {""n"": 2010, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.11840796019900497, ""wht_at_max"": 0.9999999403953552}}",,,,,,,,,,,,,,,,,,,,,,
causal,square,2,cur1,,,,,,,"{""coverage"": 0.8682725694444444, ""support_radius_out"": 124.18900429467307, ""support_radius_input"": 62.094502147336534, ""centroid_x"": 0.005998389353425511, ""centroid_y"": 0.005955481313482011}","{""f1e-09"": {""n"": 8002, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.04836290927268183, ""wht_at_max"": 0.2499999850988388}, ""f0.001"": {""n"": 7989, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.04844160720991363, ""wht_at_max"": 0.2499999850988388}, ""f0.01"": {""n"": 7959, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.04862419901997738, ""wht_at_max"": 0.2499999850988388}, ""f0.1"": {""n"": 7833, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.048640367675220224, ""wht_at_max"": 0.2499999850988388}}",,,,,,,,,,,,,,,,,,,,,,
causal,square,2,correct_1os,,,,,,,"{""coverage"": 0.8682725694444444, ""support_radius_out"": 124.18900429467307, ""support_radius_input"": 62.094502147336534, ""centroid_x"": 0.005998389353425511, ""centroid_y"": 0.005955481313482011}","{""f1e-09"": {""n"": 8002, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.04836290927268183, ""wht_at_max"": 0.2499999850988388}, ""f0.001"": {""n"": 7989, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.04844160720991363, ""wht_at_max"": 0.2499999850988388}, ""f0.01"": {""n"": 7959, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.04862419901997738, ""wht_at_max"": 0.2499999850988388}, ""f0.1"": {""n"": 7833, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.048640367675220224, ""wht_at_max"": 0.2499999850988388}}",,,,,,,,,,,,,,,,,,,,,,
causal,square,3,cur1,,,,,,,"{""coverage"": 0.8614004629629629, ""support_radius_out"": 186.67317974015785, ""support_radius_input"": 62.22439324671928, ""centroid_x"": 0.004051180044473308, ""centroid_y"": 0.0040269759323125825}","{""f1e-09"": {""n"": 17862, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.0975254730713246, ""wht_at_max"": 0.08858343958854675}, ""f0.001"": {""n"": 17826, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.09772242791428251, ""wht_at_max"": 0.08858343958854675}, ""f0.01"": {""n"": 17747, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.09810108750774779, ""wht_at_max"": 0.08858343958854675}, ""f0.1"": {""n"": 17349, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.09971756297192921, ""wht_at_max"": 0.1111111119389534}}",,,,,,,,,,,,,,,,,,,,,,
causal,square,3,correct_1os,,,,,,,"{""coverage"": 0.8614004629629629, ""support_radius_out"": 186.67317974015785, ""support_radius_input"": 62.22439324671928, ""centroid_x"": 0.004051180044473308, ""centroid_y"": 0.0040269759323125825}","{""f1e-09"": {""n"": 17862, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.0975254730713246, ""wht_at_max"": 0.08858343958854675}, ""f0.001"": {""n"": 17826, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.09772242791428251, ""wht_at_max"": 0.08858343958854675}, ""f0.01"": {""n"": 17747, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.09810108750774779, ""wht_at_max"": 0.08858343958854675}, ""f0.1"": {""n"": 17349, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.09971756297192921, ""wht_at_max"": 0.1111111119389534}}",,,,,,,,,,,,,,,,,,,,,,
causal,square,4,cur1,,,,,,,"{""coverage"": 0.8576931423611112, ""support_radius_out"": 249.15629629381442, ""support_radius_input"": 62.289074073453605, ""centroid_x"": 0.003057265731400003, ""centroid_y"": 0.003041127513682139}","{""f1e-09"": {""n"": 31618, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.02150673666898602, ""wht_at_max"": 0.0624999962747097}, ""f0.001"": {""n"": 31554, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.02155035811624517, ""wht_at_max"": 0.0624999962747097}, ""f0.01"": {""n"": 31400, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.02165605095541401, ""wht_at_max"": 0.0624999962747097}, ""f0.1"": {""n"": 0}}",,,,,,,,,,,,,,,,,,,,,,
causal,square,4,correct_1os,,,,,,,"{""coverage"": 0.8576931423611112, ""support_radius_out"": 249.15629629381442, ""support_radius_input"": 62.289074073453605, ""centroid_x"": 0.003057265731400003, ""centroid_y"": 0.003041127513682139}","{""f1e-09"": {""n"": 31618, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.02150673666898602, ""wht_at_max"": 0.0624999962747097}, ""f0.001"": {""n"": 31554, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.02155035811624517, ""wht_at_max"": 0.0624999962747097}, ""f0.01"": {""n"": 31400, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.02165605095541401, ""wht_at_max"": 0.0624999962747097}, ""f0.1"": {""n"": 0}}",,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,1,cur1,,,,,,,"{""coverage"": 0.9097222222222222, ""support_radius_out"": 62.354001561821164, ""support_radius_input"": 62.354001561821164, ""centroid_x"": 0.011305790199966527, ""centroid_y"": 0.01118795131014402}","{""f1e-09"": {""n"": 2096, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.13931297709923665, ""wht_at_max"": 0.6879639625549316}, ""f0.001"": {""n"": 2061, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.14070839398350315, ""wht_at_max"": 0.6879639625549316}, ""f0.01"": {""n"": 2042, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.13907933398628794, ""wht_at_max"": 0.6879639625549316}, ""f0.1"": {""n"": 2012, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.13916500994035785, ""wht_at_max"": 0.6879639625549316}}",,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,1,correct_1os,,,,,,,"{""coverage"": 0.9097222222222222, ""support_radius_out"": 62.354001561821164, ""support_radius_input"": 62.354001561821164, ""centroid_x"": 0.011305790199966527, ""centroid_y"": 0.01118795131014402}","{""f1e-09"": {""n"": 2096, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.13931297709923665, ""wht_at_max"": 0.6879639625549316}, ""f0.001"": {""n"": 2061, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.14070839398350315, ""wht_at_max"": 0.6879639625549316}, ""f0.01"": {""n"": 2042, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.13907933398628794, ""wht_at_max"": 0.6879639625549316}, ""f0.1"": {""n"": 2012, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00003051757812, ""neg"": 0.0, ""frac_out"": 0.13916500994035785, ""wht_at_max"": 0.6879639625549316}}",,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,2,cur1,,,,,,,"{""coverage"": 0.8722873263888888, ""support_radius_out"": 124.1890418203789, ""support_radius_input"": 62.09452091018945, ""centroid_x"": 0.005972292952448675, ""centroid_y"": 0.005928398305157109}","{""f1e-09"": {""n"": 8039, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.0996392586142555, ""wht_at_max"": 0.34761208295822144}, ""f0.001"": {""n"": 7952, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.10072937625754527, ""wht_at_max"": 0.34761208295822144}, ""f0.01"": {""n"": 7845, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.10133843212237094, ""wht_at_max"": 0.34761208295822144}, ""f0.1"": {""n"": 5402, ""min"": 0.0, ""max"": 200.0000457763672, ""p1"": 0.0, ""p99"": 200.00001525878906, ""neg"": 0.0, ""frac_out"": 0.09644576082932248, ""wht_at_max"": 0.34761208295822144}}",,,,,,,,,,,,,,,,,,,,,,
